"Annual mean PM10 (Particulate matter with diameter of 10 ?m or less), by country",,,,,,,,,,,,,,,,,,,
Region,Country,Annual mean PM10,Year,Number and location,Temporal coverage,Reference,Urban population coverage,Reported or calculated mean,"Distribution of urban population into pollution levels (in %)
(based on city means)
ug/m3",,,,,,,,,,
,,ug/m3,, of stations,(%),,(%),,<20,20-30,30-50,50-70,70-90,90-110,110-130,130-170,170-210,Total,
EmrHI,Kuwait,123,2003,1 station in city centre,NA,"Brown KW, Bouhamra W, Lamoureux DP, Evans JS, Koutrakis P. Characterization of Particulate Matter for Three Sites in Kuwait. J Air & Waste Manage. Assoc. 58:994-1003, 2008.",71%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Afr,Nigeria,124,2006,14 stations in 14 cities,NA,Efe S. Spatial distribution of particulate air pollution in Nigerian ities: implications for human health. 2008;7(2). Available at: Journal of Environmental Health Research.  ,40%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EmrLMI,Iran (Islamic Republic of),124,2009,68 monitoring stations in 18 cities,68%,Department of Environment (DOE),45%,Calculated,0%,0%,0%,6%,18%,49%,6%,2%,18%,100%,
EmrHI,United Arab Emirates,132,2008,"6 stations in 2 cities, urban, residential and roadside, but not industrial",NA,Statistics Centre - Abu Dhabi. Statistical Yearbook of Abu Dhabi 2010.,31%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EmrLMI,Egypt,138,2008,"2 traffic, 9 residential and 3 mixed industrial/residential stations",NA,Egypt State of Environment Report 2007,21%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EmrHI,Saudi Arabia,143,2003,NA,NA,The Eighth Development Plan (1425/1426 - 1429/1430)A.H (2005 -2009)A.D,52%,Calculated,0%,0%,0%,0%,0%,2%,37%,61%,0%,100%,
Afr,Senegal,145,2010,"2 stations, two in traffic area and one urban background",NA,"Ministère de l'Environnement de la Protection de la Nature, des Bassins de Rétention et des Lacs artificiels. Suivi de la qualité de l'air à Dakar. Rapport annuel 2010. 2010.",50%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EmrLMI,Pakistan,198,2003-2004,33 stations in 6 cities,8 days over a 1-year period.,"Ghauri B, Lodhi A, Mansha M. Development of baseline (air quality) data in Pakistan. Environ Monit Assess. 2007;127(1-3):237-252.  ",40%,Calculated,0%,0%,0%,0%,0%,0%,0%,0%,91%,9%,
Afr,Botswana,216,2005,"1 station, city centre",10 monthly means,"Botswana Environmental Information System, Ambient Air Quality PM10. Ministry of Environment, Wildlife and Tourism. 2011.",27%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WprLMI,Mongolia,279,2008,"1 station at national University of Mongolia, Ulaanbaatar",2 days per week,The World Bank. Air pollution in Ulaanbaatar. Discussion Paper. 2009.,70%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
